M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', False, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', None, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', None, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', True, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', None, True]
M=5, N=5, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', True, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', True, None]
M=5, N=5, Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', 'Traitor', None, True]
M=5, N=5, Loyal_Aborts=2 | Lieutenant Decisions = ['Traitor', 'Traitor', None, None]
M=5, N=7, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', 'Traitor', True, True, True]
M=5, N=7, Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', 'Traitor', 'Traitor', True, True, True]
